Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Eastern Micronesia,Kiribati,Reef Ecologic PTY LTD,"Dr. Adam Smith, Nathan Cook",Existing point data,Kiribati Strategic Advice - Phoenix Islands protected area and Phoenix Islands Protected Area Monitoring and Evaluation Plan
Eastern Micronesia,"Marshall Islands - Rongelap, Majuro, Rongerik, Ailuk","University of Leeds, University of Queensland
WA Museum, James Cook University","Dr. Maria Beger, Dr. Zoe Richards, Dr. Doug Fenner",Existing point data,"Martin, T.S.H., Connolly, R.M., Olds, A.D., Ceccarelli, D.M., Fenner, D.E., Schlacher, T.A. & Beger, M. (2017). Subsistence fishing on Pacific atolls can maintain near-pristine fish communities. ICES Journal of Marine Science, fsx043.


Richards, Z.T. & Beger, M. (2013). Regional conservation status of scleractinian coral biodiversity in the Republic of the Marshall Islands. Diversity 5, 522-540.

Beger, M., Richards, Z.T., Jacobson, D., Emslie, M. & Hess, D. (2011). Majuro Atoll temporal monitoring report, 2010. Report to NOAA. College of the Marshall Islands, Australian Museum, The University of Queensland, Majuro, Republic of the Marshall Islands, p. 25."
Eastern Micronesia,Micronesia,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Eastern Micronesia,Marshall Islands,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Eastern Micronesia,Kiribati,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Eastern Micronesia,Marshall Islands - Majuro Atoll,National Oceanic and Atmospheric Administration (NOAA),Kendall et al.,Existing Maps,"Kendall, M.S., T.A. Battista, and C. Menza. 2012. Majuro Atoll, Republic of the Marshall Islands Coral Reef Ecosystems Mapping Report. NOAA National Centers for Coastal Ocean Science, Center for Coastal Monitoring, Biogeography Branch. Silver Spring, Maryland. NOAA Technical Memorandum NOS NCCOS 144. 19 pp.
https://www.google.com/url?q=https://coastalscience.noaa.gov/project/benthic-habitat-mapping-majuro-republic-marshall-islands/&sa=D&source=editors&ust=1628131362376000&usg=AOvVaw2vLCT4Xkcu173v8MGO8RQy"
Eastern Micronesia,United States of America - Palmyra Atoll,National Oceanic and Atmospheric Administration (NOAA),Battista et al.,"Existing point data, Existing Map","2010: Palmyra Atoll Coral Reef Habitat Mapping Completion Report (Prepared by NCCOS and Analytical Laboratories of Hawaii, LLC for The Nature Conservancy [in Hawaii]).
https://coastalscience.noaa.gov/project/benthic-habitat-mapping-palmyra-atoll/"
Eastern Micronesia,"United States of America - Wake Island, Baker Island, Howland Island, Jarvis Island, Plamyra Atoll, Kingman Reef",National Oceanic and Atmospheric Administration (NOAA),"Coral Reef Ecosystem Program and Ecosystem Sciences Division, Pacific Islands Fisheries Science Center",Existing point data,"Coral Reef Ecosystem Program; Pacific Islands Fisheries Science Center (2017). National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) across Wake Island from 2014-03-16 to 2014-03-20 (NCEI Accession 0159158). [all subsets]. NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0159158. Accessed [2021].

Coral Reef Ecosystem Program; Pacific Islands Fisheries Science Center (2017). National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) across the Pacific Remote Island Areas from 2015-01-26 to 2015-04-28 (NCEI Accession 0159165). [all subsets]. NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0159165. Accessed [2021].

Ecosystem Sciences Division, Pacific Islands Fisheries Science Center (2018). National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) at Jarvis Island of the Pacific Remote Island Areas from 2016-05-16 to 2016-05-22 (NCEI Accession 0176560). [all subsets]. NOAA National Centers for Environmental Information. Dataset. https://www.ncei.noaa.gov/archive/accession/0176560. Accessed [2021].

Ecosystem Sciences Division, Pacific Islands Fisheries Science Center (2018). National Coral Reef Monitoring Program: Benthic Cover Derived from Analysis of Benthic Images Collected during Stratified Random Surveys (StRS) across the Pacific Remote Island Areas from 2017-04-02 to 2017-04-23 (NCEI Accession 0176575). [indicate subset used]. NOAA National Centers for Environmental Information. Dataset. https://www.ncei.noaa.gov/archive/accession/0176575. Accessed [2021].

Coral Reef Ecosystem Program; Pacific Islands Fisheries Science Center (2017). National Coral Reef Monitoring Program: Towed-diver Surveys of Benthic Habitats, Key Benthic Species, and Marine Debris Sightings, of Wake Island from 2014-03-16 to 2014-03-17 (NCEI Accession 0157552). [indicate subset used]. NOAA National Centers for Environmental Information. Dataset. https://accession.nodc.noaa.gov/0157552. Accessed [2021].
"
Eastern Micronesia,Marshall Islands,"Remote Sensing Research Centre, University of Queensland, Australia",Dr Chris Roelfsema,Existing Maps,"Roelfsema, C., Phinn, S., Jupiter, S., Comley, J., Beger, M., & Paterson, E. (2010). The application of object based analysis of high spatial resolution imagery for mapping large coral reef systems in the west pacific at geomorphic and benthic community spatial scales. In 2010 IEEE International Geoscience and Remote Sensing Symposium (pp. 4346-4349). IEEE."
Eastern Micronesia,Kiribati - Tarawa and Abaiang Atolls,University of British Columbia (UBC) and the Government of Kiribati Ministry of Fisheries and Marine Resources Development (MFMRD),"Sara Cannon (UBC), Erietera Aram (MFMRD), Toaea Beiateuea (MFMRD), Aranteiti Kiareti (MFMRD), Max Peter (MFMRD), Prof. Simon Donner (UBC)",Existing point data,Unpublished (manuscript in review)
Eastern Micronesia,Marshall Islands - Majuro and Arno Atolls,University of British Columbia (UBC),"Sara Cannon, Prof. Simon Donner",Existing point data,"Cannon, S. E., Donner, S. D., Fenner, D., & Beger, M. (2019). The relationship between macroalgae taxa and human disturbance on central Pacific coral reefs. Marine pollution bulletin, 145, 161-173."
Eastern Micronesia,Kiribati - Gilbert Islands,"National Center for Ecological Analysis and Synthesis, Marine Science Institute, University of California, Santa Barbara",Dr. Jacob G. Eurich ,Existing point data,"These data were collected as part of the Pacific Planetary Health Initiative, funded by the National Science Foundation (CNH #1826668), in partnership with the Kiribati Ministry of Fisheries and Marine Resource Development."
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Arnavon Islands,The Nature Conservancy,"Simon Vuto, Dr. Peter Waldie",Existing point data,Arnavon Islands Rapid Ecological Assesment 2019; The Nature Conservancy
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Bismarack Sea,The Nature Conservancy,Turak et al. (2009),Published paper or report,"Turak, E., DeVantier, L. & Veron, J.E.N. (2009). Coral Communities and Reef Health. In: Hamilton, R., Green, A. & Almany, J. (eds.) 2009. Rapid Ecological Assessment: Northern Bismarck Sea, Papua New Guinea. Technical report of survey conducted August 13 to September 7, 2006. TNC Pacific Island Countries Report No. 1/09."
Eastern Papua New Guinea and Solomon Islands,Coral Triangle,"Faculty of Biological Sciences, School of Biology, University of Leeds, Leeds, UK",Maria Beger,Existing Maps,"Vercammen, A., McGowan, J., Knight, A. T., Pardede, S., Muttaqin, E., Harris, J., Ahmadia, G., Estradivari, Dallison, T., Selig, E., & Beger, M. (2019). Evaluating the impact of accounting for coral cover in large-scale marine conservation prioritizations. Diversity and Distributions, 25(10), 1564-1574. https://doi.org/10.1111/ddi.12957"
Eastern Papua New Guinea and Solomon Islands,"East Rennell, Solomon Islands","The University of Queensland, Brisbane, Australia",Albert et al.,Published paper or report,"Albert, S., Ramohia, P., Olds A., Leve, T. & Kvennefor, C. (2013). Survey of the condition of the marine ecosystem within the East Rennell World Heritage Area, Solomon Islands"
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G. J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Eastern Papua New Guinea and Solomon Islands,"Kar Kar Island, Papua New Guinea","National University of Singapore and ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Australia","Andrew G. Bauman, Joshua E. Cinner",Existing point data,"Bauman, A.G. & Cinner, J.E. Benthic transect data  Ahus Is. and Kar Kar Is., Papua New Guinea."
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Kimbe Bay,The Nature Conservancy,Turak et al. (2002),Published paper or report,"Turak, E. & Aitsi, J. (Eds.) 2002. Assessment of coral biodiversity and status of coral reefs of East Kimbe Bay, New Britain, PNG 2002. Report to The Nature Conservancy as part of the Eastern Kimbe Bay Rapid Ecological Assessment, December 2002."
Eastern Papua New Guinea and Solomon Islands,"Kimbe Bay, Papua New Guinea","School of Marine Biology and Aquaculture, James Cook University, Townsville, Australia",Jones et al.,Published paper or report,"Jones, G. P., McCormick, M. I., Srinivasan, M., & Eagle, J. V. (2004). Coral decline threatens fish biodiversity in marine reserves. Proceedings of the National Academy of Sciences, 101(21), 8251-8253. https://doi.org/10.1073/pnas.0401277101"
Eastern Papua New Guinea and Solomon Islands,"Kimbe Bay, Paupa New Guinea","James Cook University and ARC Centre of Excellence in Coral Reef Studies, Townsville, Australia","Geoff Jones, Maya Srinivasan, Janelle Eagle, Stephen Neale, Mary Bonin",Existing point data,2019 Coral Data collected in Kimbe Bay Papua New Guinea
Eastern Papua New Guinea and Solomon Islands,"Lihir Island, Papua New Guinea","CSIRO Oceans and Atmosphere, Australia",Michael DE Haywood,Existing point data,"Haywood, M.D.E., Dennis, D., Thomson, D.P., & Pillans, R.D. (2016). Mine waste disposal leads to lower coral cover, reduced species richness and a predominance of simple coral growth forms on a fringing coral reef in Papua New Guinea. Marine Environmental Research, 115, 36-48"
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Milne Bay Province,Conservation International,Allen et al. (2003),Published paper or report,"Allen, G., Kinch, J., McKenna, S. & Seeto, P. (2003). A Rapid Marine Biodiversity Assessment of Milne Bay Province, Papua New Guinea: Survey II (2000).  RAP Bulletin of Biological Assessment 29. Conservation International, Washington, DC, USA."
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Northern Bismarck Sea ,The Nature Conservancy,Dr. Alison Green,Published paper or report,"Hamilton, R., Green, A. & Almany, J. (eds.) 2009. Rapid Ecological Assessment: Northern Bismarck Sea, Papua New Guinea. Technical report of survey conducted August 13 to September 7, 2006. TNC Pacific Island Countries Report No. 1/09."
Eastern Papua New Guinea and Solomon Islands,"Indonesia - Owi Island, Biak, Papua","Department of Marine Science and Technology, Bogor Agricultural University, Indonesia",Dominggus Samuel HLM Koreri Awak,Existing point data,"Awak, D. S. H. L. M. K., Gaol, J. L., Subhan, B., Madduppa, H. H., & Arafat, D. (2016). Coral Reef Ecosystem Monitoring Using Remote Sensing Data: Case Study in Owi Island, Biak, Papua. Procedia Environmental Sciences, 33, 600-606. https://doi.org/10.1016/j.proenv.2016.03.113"
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea,The Nature Conservancy,"Dr. Peter Waldie, Elliot Tovaboda, Manuai Matawai",Existing point data,"Papua New Guinea Seacucumber Survey, benthic transect data 2017-2019; The Nature Conservancy"
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,"The University of Queensland, Brisbane, Australia","Dr. Chris Roelfsema, Dr. Simon Albert, Prof. Stuart Phinn",Existing Maps and georeferenced phototransects,"Roelfsema, C., Simon, A. & Stuart, R. (2013): Habitat map of Roviana Reef, Solomon Islands derived from a high-spatial-resolution multi-spectral satellite image using object based image analysis. PANGAEA, https://doi.org/10.1594/PANGAEA.831039,"
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,Wildlife Conservation Society (WCS),"Dr. Stacey Jupiter, Alec Hughes",New georeferenced phototransects,"Phototransects collected in 2019 around Morovo Lagoon, Solomon Islands.  Wildlife Conservation Society"
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,"Centre for Tropical Water & Aquatic Ecosystem Research (TropWATER), James Cook University, Cairns, Australia",Len McKenzie,Existing Maps,"Seagrass meadows of the Solomon Islands, derived from field surveys conducted 13 May and 16 June 2004. McKenzie, L.J., Campbell, S.J. & Lasi, F."
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,The Nature Conservancy,Hughes (2006),Published paper or report,"Hughes, A. (2006). Benthic Communities. In: Green, A., Lokani, P., Atu, W., Ramohia,   P., Thomas,  P. & Almany, J. (eds.). (2006). Solomon Islands Marine Assessment: Technical report of survey conducted May 13 to June 17, 2004. TNC Pacific Island Countries Report No. 1/06."
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,The Nature Conservancy,Turak (2006),Published paper or report,"Turak, E. (2006). Coral Communities and Reef Health. In: Green, A., Lokani, P.,  Atu, W., Ramohia, P., Thomas, P. & Almany, J. (eds.). (2006). Solomon Islands Marine Assessment: Technical report of survey conducted May 13 to June 17, 2004. TNC Pacific Island Countries Report No. 1/06."
Eastern Papua New Guinea and Solomon Islands,Solomons,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Eastern Papua New Guinea and Solomon Islands,Solomon Islands,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Eastern Papua New Guinea and Solomon Islands,Papua New Guinea - Kimbe Bay,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Global,"Global - Australia, Belize, Coral Sea, Chagos Archipelago, Indonesia, Lesser Antilles, Mexico, Maldives, Southern Caribbean, Solomon Islands, Taiwan ","Global Change Institute, University of Queensland; XL Catlin Seaview Survey","Dr. Emma Kennedy, Dr. Manuel González-Rivero, Prof. Ove Hoegh-Guldberg",Existing point data,"González-Rivero, M., Rodriguez-Ramirez, A., Beijbom, O., Dalton, P., Kennedy, E. V., Neal, B. P., Vercelloni, J., Bongaerts, P., Ganase, A., Bryant, D. E. P., Brown, K., Kim, C., Radice, V. Z., Lopez-Marcano, S., Dove, S., Bailhache, C., Beyer, H. L. & Hoegh-Guldberg. O. (2019). ""Seaview Survey Photo-quadrat and Image Classification Dataset."" The University of Queensland. https://espace.library.uq.edu.au/view/UQ:734799

Rodriguez-Ramirez, A., González-Rivero, M., Beijbom, O., Bailhache, C., Bongaerts, P., Brown, K. T., Bryant, D. E. P., Dalton, P., Dove, S., Ganase, A., Kennedy, E. V., Kim, C. J. S., Lopez-Marcano, S., Neal, B. P., Radice, V. Z., Vercelloni, J., Beyer, H. L. & Hoegh-Guldberg, O. 2020. 'A contemporary baseline record of the world’s coral reefs', Scientific Data, 7: 355.
"
Global,Global,"UNEP World Conservation Monitoring Centre (UNEPWCMC), the WorldFish Centre, WRI (World
Resources Institute), TNC (The Nature Conservancy)","UNEP World Conservation Monitoring Centre (UNEPWCMC) and the WorldFish Centre, in collaboration with WRI (World
Resources Institute) and TNC (The Nature Conservancy)",Existing Map,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre

IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre

Spalding MD, Ravilious C, Green EP (2001). World Atlas of Coral Reefs. Berkeley (California, USA): The University of California Press. 436 pp. https://data.unep-wcmc.org/datasets/1"
Global,Global,UN Environment World Conservation Monitoring Centre,"UN Environment World Conservation Monitoring Centre in collaboration with many collaborators (e.g. Frederick Short of the University of New Hampshire), organisations (e.g. OSPAR), and projects (e.g. the European project Mediterranean Sensitive Habitats “Mediseh”) across the globe. ",Existing Map,"UNEP-WCMC, Short FT (2021). Global distribution of seagrasses (version 7.1). Seventh update to the data layer used in Green and Short (2003). Cambridge (UK): UN Environment World Conservation Monitoring Centre. Data DOI: https://doi.org/10.34892/x6r3-d211

Green EP, Short FT (2003). World atlas of seagrasses. Prepared by UNEP World Conservation Monitoring Centre. Berkeley (California, USA): University of California. 332 pp. URL: https://archive.org/details/worldatlasofseag03gree

Belluscio A, Panayiotidis P, Gristina M, Knittweis L, Pace ML, Telesca L, Criscoli A, Apostolaki ET, Gerakaris V, Fraschetti S, Spedicato MT, Lembo G, Salomidi M, Mifsud R, Fabi G, Badalamenti F, Garofalo G, Alagna A, Ardizzone GD, Martin CS, Valavanis V (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. M Giannoulaki, A Belluscio, F Colloca, S Fraschetti, M Scardi, C Smith, P Panayotidis, V Valavanis, MT Spedicato). DG – MARE, specific contract SI2.600741. Heraklion (Greece): Hellenic Centre for Marine Research. 557 pp. URL: http://mareaproject.net/download/71

Telesca L, Belluscio A, Criscoli A, Ardizzone G, Apostolaki ET, Fraschetti S, Gristina M, Knittweis L, Martin CS, Pergent G, Alagna A, Badalamenti F, Garofalo G, Gerakaris V, Pace ML, Pergent-Martini C, Salomidi M, 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific Reports 5: 12505. doi: 10.1038/srep12505 

OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.       https://data.unep-wcmc.org/datasets/7"
Global,Global,UNEP World Conservation Monitoring Centre (UNEPWCMC),UNEP World Conservation Monitoring Centre (UNEPWCMC),Existing Map,"Giri C, Ochieng E, Tieszen LL, Zhu Z, Singh A, Loveland T, Masek J, Duke N (2011). Status and distribution of mangrove forests of the world using earth observation satellite data (version 1.4, updated by UNEP-WCMC). Global Ecology and Biogeography 20: 154-159. Paper DOI: 10.1111/j.1466-8238.2010.00584.x . Data DOI: https://doi.org/10.34892/1411-w728 . https://data.unep-wcmc.org/datasets/4"
Gulf of Aden,Yemen - Socotra archipelago ,Coral Reef Research,"Dr. Lyndon DeVantier, Emre Turak",Existing point data,"DeVantier, L., De Ath, G., Klaus, R., Al-Moghrabi, S., Abdulaziz, M., Reinicke, G. B., & Cheung, C. (2004). Reef-building corals and coral communities of the Socotra Archipelago, a zoogeographic crossroads' in the Arabian Sea. Fauna of Arabia, 20, 117-168.
DeVantier, L.M., Hariri, K. (2005) Preliminary ecological assessment of the coral communities of the north-east Gulf of Aden, with reference to the 1998 bleaching event. In: Abuzinada, A. (Ed.) Proceedings of the International Workshop on the Extent and Impact of Coral Reef Bleaching in the Arabian Region. National Commission for Wildlife Conservation and Development, Kingdom of Saudi Arabia Publ.
DeVantier, L.M., Cheung, C.P.S., AbdulAziz, M.A, Klaus, R. (2005) Coral bleaching in the Socotra Archipelago, Yemen, May-June 1998. In: Abuzinada, A. (Ed.) Proceedings of the International Workshop on the Extent and Impact of Coral Reef Bleaching in the Arabian Region. National Commission for Wildlife Conservation and Development, Kingdom of Saudi Arabia Publ.

"
Hawaiian Islands,Hawaiian Islands,University of Hawaii,"Chelsie Counsell, Mary Donovan, Alan Friedlander",Existing point data,Donovan et al. (2019) Coral reef fish and benthic surveys in Hawai‘i synthesized from multiple organizations over twenty years. Scientific Data (in prep).
Hawaiian Islands,Hawaiian Islands,PIBHMC,"Pacific Islands Benthic Habitat Mapping Center (PIBHMC), Coral Reef Ecosystem Division (CRED), Pacific Islands Fisheries Science Center (PIFSC), National Marine Fisheries Service (NMFS), National Oceanic and Atmospheric Administration (NOAA)",Existing map,"Pacific Islands Benthic Habitat Mapping Center (PIBHMC), Coral Reef Ecosystem Division (CRED), Pacific Islands Fisheries Science Center (PIFSC), National Marine Fisheries Service (NMFS), National Oceanic and Atmospheric Administration (NOAA) (2015) Maps of percent scleractinian coral cover and sand along camera tows and ROV tracks of West Maui and West Hawaii  "
Hawaiian Islands,Hawaiian Islands,State of Hawaii,Hawaii Statewide GIS Program,Existing map,"Coral Reef (Nautical Charts).  Copyright: NOAA Raster Nautical Charts, 2002; Hawaii Statewide GIS Program. Accessed 2019 from https://geoportal.hawaii.gov/datasets/coral-reefs. "
Hawaiian Islands,Hawaiian Islands,USGS,"James Guest, Peter Edmunds, Ruth Gates",Existing point data,"Guest, J.R., Edmunds, P.J., Gates, R.D., Kuffner, I.B., Andersson, A.J., Barnes, B.B., Chollett, I., Elahi, R., Courtney, T.A., Gross, K., Lenz, E.A., Mitarai, S., Mumby, P.J., Nelson, H.R., Parker, B.A., Putnam, H.M., and Toth, L.T., 2018, A framework for identifying and characterising coral-reef “oases” against a backdrop of degradation: Journal of Applied Ecology, https://doi.org/10.1111/1365-2664.13179."
Hawaiian Islands,Hawaiian Islands,USGS,"Ann Gibbs, Susan Cochran, Joshua Logan, Eric Grossman",Existing map,"Gibbs, A.E., Cochran, S.A., Logan, J.B, and Grossman, E.E., 2007, Benthic habitats and offshore geological resources of Kaloko-Honokohau National Historical park, Hawai`i (ver. 1.1, May 2016): U.S. Geological Survey Scientific Investigations Report 2006-5256, 62 p."
Hawaiian Islands,Hawaiian Islands,National Oceanic and Atmospheric Administration (NOAA),"Bryan Costa, Matt Kendall",Existing point data,"Costa, B. and M. Kendall. 2016. Marine Biogeographic Assessment of the Main Hawaiian Islands: Synthesized physical and biological data offshore of the Main Hawaiian Islands from 1891-01-01 to 2015-03-01 (NCEI Accession 0155189). NOAA National Centers for Environmental Information. Dataset. doi:10.7289/V56H4FG9"
Hawaiian Islands,Hawaii,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Hawaiian Islands,Hawaii islands,ASU Center for Global Discovery and Conservation Science,Greg Asner,,Allen Coral Atlas Partnership
Indonesia,Indonesia - Karimunjawa,UQ Remote Sensing Research Centre,"Chris Roelfsema, Stuart Phinn",Existing point data,Allen Coral Atlas Partnership
Indonesia,Indonesia - Karimunjawa,University of Gajah Mada,,Existing point data,Allen Coral Atlas Partnership
Mesoamerica,Mexico - Mexican Caribbean and the Campeche Bank,"Marine Ecology Department, University of Bremen, Germany Biodiversity and Reef Conservation Laboratory, Universidad Nacional Autónoma de México (UNAM)",Ms. Xochitl E. Elías Ilosvay and Dr. Lorenzo Alvarez-Filip,Existing point data,"Elías Ilosvay, X. E., Contreras-Silva, A. I., Alvarez-Filip, L., & Wild, C. (2020). Coral Reef Recovery in the Mexican Caribbean after 2005 Mass Coral Mortality—Potential Drivers. Diversity, 12(9), 338."
Mesoamerica,Mexico,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Dr. Sergio Cerdeira-Estrada, Susana Perera Valderrama, Laura Rosique, Hansel Caballero, Raul Martell Dubois
",Existing Maps,"Cerdeira-Estrada, S., M.I. Martínez-Clorio, L.O. Rosique-De La Cruz, M. Kolb, A.M. Gonzales-Posada, A. Uribe-Martínez, R. Martell-Dubois, J.R. Garza-Pérez, L. Alvarez-Filip, M.I. Cruz-López, R. Ressl. 2018. 'Cobertura Bentónica de los Ecosistemas Marinos del Caribe Mexicano: Cabo Catoche - Xcalak. 2018'. Escala: 1:8000. Edición: 2. CONABIO, EOMAP, UNAM. México. Palafox Juárez E. B. & Liceaga Correa M. A. (2013) Vegetación acuática sumergida de la Región Centro - Poniente del estado de Yucatán, escala: 1:450,000. edición: 1. Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional - Unidad Mérida. Mérida, Yucatán."
Mesoamerica,Mexico,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Dr. Sergio Cerdeira-Estrada, Susana Perera Valderrama, Laura Rosique, Hansel Caballero, Raul Martell Dubois
",Existing point data,Data shared by CONABIO from project ArrecifeSAM
Mesoamerica,Caribbean ,Atlantic and Gulf Rapid Assessment (AGGRA) ,"Patricia Perigee, Dr. Judith Lang",Existing point data,"These data were kindly contributed by AGRRA. The AGRRA data collection is made possible by their contributing partners including (but not limited to) Healthy Reefs Initiative, Living Oceans Foundation and Perry Institute of Marine Science.

AGRRA (2017). Atlantic and Gulf Rapid Reef Assessment (AGRRA): An online database of AGRRA"
Mesoamerica,Honduras,"Marine Conservation Program, Smithsonian Marine Station",Steven Canty,Existing point data,"Satellite Mapping of Morphological and Benthic Habitats for the Honduran North Shore. This study was conducted by Charlotte Purkis for the Marine Conservation Program, and supported by the Summit Foundation."
